White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
"Sivuk, V","Emanuel, Y",½-½,8.1,"Feb 15, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Lev, R","Deutsch, E",½-½,8.1,"Feb 15, 2020","E38 Nimzo-Indian, classical, 4...c5",,,,,,
"Bagrationi, A","Ben Menachem, I",½-½,8.1,"Feb 15, 2020",D20 Queen's gambit accepted,,,,,,
"Sherf, R","Pasman, M",½-½,8.1,"Feb 15, 2020","B34 Sicilian, accelerated fianchetto, exchange variation",,,,,,
"Oratovsky, M","Klar, N",1-0,8.1,"Feb 15, 2020",B27 Sicilian defence,,,,,,
"Lavi, I","Nedobora, M",0-1,8.1,"Feb 15, 2020","B90 Sicilian, Najdorf",,,,,,
"Gorodetzky, D","Postny, E",1-0,8.2,"Feb 15, 2020",D02 Queen's pawn game,,,,,,
"Rodshtein, M","Galburd, Y",1-0,8.2,"Feb 15, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Veinberg, N","Steinberg, N",½-½,8.2,"Feb 15, 2020","E32 Nimzo-Indian, classical variation",,,,,,
"Roiz, M","Parkhov, Y",½-½,8.2,"Feb 15, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Zlatin, A","Greenfeld, A",1-0,8.2,"Feb 15, 2020","B64 Sicilian, Richter-Rauzer, Rauzer attack, 7...Be7 defence, 9.f4",,,,,,
"Huzman, A","Mikhalevski, A",1-0,8.2,"Feb 15, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Alterman, B","Gruenfeld, Y",1-0,8.3,"Feb 15, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Zaslavsky, M","Baron, T",½-½,8.3,"Feb 15, 2020",A06 Reti opening,,,,,,
"Raznikov, D","Kuprijanov, A",1-0,8.3,"Feb 15, 2020","D28 Queen's Gambit Accepted, classical, 7.Qe2",,,,,,
"Maryasin, B","Kobo, O",½-½,8.3,"Feb 15, 2020",C00 French defence,,,,,,
"Zanan, E","Rahmilevitz, A",1-0,8.3,"Feb 15, 2020","B41 Sicilian, Kan variation",,,,,,
"Musyuk, L","Kaspi, A",1-0,8.3,"Feb 15, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Lomasov, S","Dvoirys, S",0-1,8.4,"Feb 15, 2020","B98 Sicilian, Najdorf, 7...Be7",,,,,,
"Khmelniker, I","Zubov, A",½-½,8.4,"Feb 15, 2020","D27 Queen's Gambit Accepted, classical, 6...a6",,,,,,
"Flom, G","Vydeslaver, A",½-½,8.4,"Feb 15, 2020",B06 Robatsch (modern) defence,,,,,,
"Sidorenko, I","Bykhovsky, A",0-1,8.4,"Feb 15, 2020",B12 Caro-Kann defence,,,,,,
"Mesropov, K","Klenburg, M",1-0,8.4,"Feb 15, 2020",A16 English opening,,,,,,
"Iliaguev, N","Kantarji, P",1-0,8.4,"Feb 15, 2020",D02 Queen's pawn game,,,,,,
"Nabaty, T","Bakalchuk, J",1-0,8.5,"Feb 15, 2020","B72 Sicilian, dragon, 6.Be3",,,,,,
"Zoler, D","Givon, A",1-0,8.5,"Feb 15, 2020",D30 Queen's gambit declined,,,,,,
"Erenberg, A","Zifroni, D",1-0,8.5,"Feb 15, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Caspi, I","Rozentalis, E",½-½,8.5,"Feb 15, 2020","C10 French, Paulsen variation",,,,,,
"Gorshtein, I","Ganor, D",½-½,8.5,"Feb 15, 2020","A33 English, symmetrical variation",,,,,,
"Krayz, A","Mindlin, A",½-½,8.5,"Feb 15, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Rechlis, G","Eljanov, P",0-1,8.6,"Feb 15, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Sutovsky, E","Tarlev, K",½-½,8.6,"Feb 15, 2020","C84 Ruy Lopez, closed defence",,,,,,
"Bitensky, I","Golod, V",0-1,8.6,"Feb 15, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Smirin, I","Manor, I",½-½,8.6,"Feb 15, 2020","B47 Sicilian, Taimanov (Bastrikov) variation",,,,,,
"Friedland, M","Kantsler, B",½-½,8.6,"Feb 15, 2020",C41 Philidor's defence,,,,,,
"Birnboim, N","Botvinnik, M",½-½,8.6,"Feb 15, 2020","C07 French, Tarrasch, open variation",,,,,,
"Galburd, Y","Zubov, A",1-0,10.1,"Sep 02, 2020",,,,,,,
"Flom, G","Gorodetzky, D",0-1,10.1,"Sep 02, 2020",B12 Caro-Kann defence,,,,,,
"Parkhov, Y","Bykhovsky, A",1-0,10.1,"Sep 02, 2020","C95 Ruy Lopez, closed, Breyer, 10.d4",,,,,,
"Mesropov, K","Veinberg, N",0-1,10.1,"Sep 02, 2020","A28 English, four knights system",,,,,,
"Zlatin, A","Atnilov, B",1-0,10.1,"Sep 02, 2020","C16 French, Winawer, advance variation",,,,,,
"Chassid, E","Mikhalevski, A",0-1,10.1,"Sep 02, 2020",A13 English opening,,,,,,
"Raznikov, D","Sivuk, V",1-0,10.2,"Sep 02, 2020",A40 Queen's pawn,,,,,,
"Deutsch, E","Baron, T",½-½,10.2,"Sep 02, 2020","C01 French, exchange variation",,,,,,
"Zanan, E","Bagrationi, A",½-½,10.2,"Sep 02, 2020","E07 Catalan, closed, 6...Nbd7",,,,,,
"Bronstein, O","Pasman, M",1-0,10.2,"Sep 02, 2020",D00 Queen's pawn game,,,,,,
"Kobo, O","Chernomordik, P",1-0,10.2,"Sep 02, 2020",B06 Robatsch (modern) defence,,,,,,
"Nedobora, M","Kaspi, A",0-1,10.2,"Sep 02, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Rechlis, G","Dvoirys, S",1-0,9.1,"Sep 04, 2020","A37 English, symmetrical variation",,,,,,
"Khmelniker, I","Manor, I",1-0,9.1,"Sep 04, 2020",A40 Queen's pawn,,,,,,
"Bitensky, I","Vydeslaver, A",½-½,9.1,"Sep 04, 2020","B52 Sicilian, Canal-Sokolsky attack, 3...Bd7",,,,,,
"Sidorenko, I","Botvinnik, M",½-½,9.1,"Sep 04, 2020","C10 French, Paulsen variation",,,,,,
"Aharonovich, I","Shvayger, Y",1-0,9.1,"Sep 04, 2020","E59 Nimzo-Indian, 4.e3, main line",,,,,,
"Iliaguev, N","Friedland, M",1-0,9.1,"Sep 04, 2020","A11 English, Caro-Kann defensive system",,,,,,
"Boruchovsky, A","Emanuel, Y",½-½,9.2,"Sep 04, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Sherf, R","Erenberg, A",0-1,9.2,"Sep 04, 2020",A22 English opening,,,,,,
"Givon, A","Erenberg, S",1-0,9.2,"Sep 04, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Klar, N","Mindlin, A",0-1,9.2,"Sep 04, 2020",B06 Robatsch (modern) defence,,,,,,
"Ben Artzi, I","Cnaan, M",1-0,9.2,"Sep 04, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Baumann, Y","Gorshtein, I",0-1,9.2,"Sep 04, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Flom, G","Gruenfeld, Y",0-1,9.3,"Sep 04, 2020",E20 Nimzo-Indian defence,,,,,,
"Maryasin, B","Bykhovsky, A",½-½,9.3,"Sep 04, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Mesropov, K","Polyakov, A",½-½,9.3,"Sep 04, 2020",B10 Caro-Kann defence,,,,,,
"Kuprijanov, A","Kantarji, P",0-1,9.3,"Sep 04, 2020",,,,,,,
"Chassid, E","Rahmilevitz, A",0-1,9.3,"Sep 04, 2020","E66 King's Indian, fianchetto, Yugoslav Panno",,,,,,
"Nasi, E","Atnilov, B",1-0,9.3,"Sep 04, 2020",B00 King's pawn opening,,,,,,
"Bagrationi, A","Gorodetzky, D",½-½,9.4,"Sep 04, 2020","C02 French, advance variation",,,,,,
"Galburd, Y","Sivuk, V",1-0,9.4,"Sep 04, 2020",A04 Reti opening,,,,,,
"Pasman, M","Veinberg, N",1-0,9.4,"Sep 04, 2020",A45 Queen's pawn game,,,,,,
"Parkhov, Y","Deutsch, E",½-½,9.4,"Sep 04, 2020","C18 French, Winawer, advance variation",,,,,,
"Nedobora, M","Zlatin, A",½-½,9.4,"Sep 04, 2020",C53 Giuoco Piano,,,,,,
"Mikhalevski, A","Chernomordik, P",1-0,9.4,"Sep 04, 2020",A10 English opening,,,,,,
"Alterman, B","Roiz, M",½-½,9.5,"Sep 04, 2020","A30 English, symmetrical variation",,,,,,
"Postny, E","Raznikov, D",1-0,9.5,"Sep 04, 2020","E52 Nimzo-Indian, 4.e3, main line with ...b6",,,,,,
"Baron, T","Huzman, A",½-½,9.5,"Sep 04, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Steinberg, N","Zanan, E",½-½,9.5,"Sep 04, 2020","B90 Sicilian, Najdorf",,,,,,
"Bronstein, O","Greenfeld, A",0-1,9.5,"Sep 04, 2020",D20 Queen's gambit accepted,,,,,,
"Mikhalevski, V","Kobo, O",½-½,9.5,"Sep 04, 2020","D74 Neo-Gruenfeld, 6.cd Nxd5, 7.O-O",,,,,,
"Smirin, I","Zoler, D",1-0,9.6,"Sep 04, 2020","C95 Ruy Lopez, closed, Breyer, 10.d4",,,,,,
"Zifroni, D","Sutovsky, E",½-½,9.6,"Sep 04, 2020","D79 Neo-Gruenfeld, 6.O-O, main line",,,,,,
"Golod, V","Bakalchuk, J",½-½,9.6,"Sep 04, 2020","E91 King's Indian, 6.Be2",,,,,,
"Haimovich, T","Bar, R",½-½,9.6,"Sep 04, 2020","E43 Nimzo-Indian, Fischer variation",,,,,,
"Kantsler, B","Caspi, I",½-½,9.6,"Sep 04, 2020","E53 Nimzo-Indian, 4.e3, main line with ...c5",,,,,,
"Krayz, A","Birnboim, N",0-1,9.6,"Sep 04, 2020",C70 Ruy Lopez,,,,,,
"Dvoirys, S","Smirin, I",½-½,10.3,"Sep 05, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Sutovsky, E","Khmelniker, I",½-½,10.3,"Sep 05, 2020","D55 Queen's Gambit Declined, 6.Nf3",,,,,,
"Vydeslaver, A","Golod, V",½-½,10.3,"Sep 05, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Bar, R","Iliaguev, N",1-0,10.3,"Sep 05, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Shvayger, Y","Kantsler, B",½-½,10.3,"Sep 05, 2020",C41 Philidor's defence,,,,,,
"Birnboim, N","Karasik, E",1-0,10.3,"Sep 05, 2020",E00 Queen's pawn game,,,,,,
"Sherf, R","Rechlis, G",½-½,10.4,"Sep 05, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Botvinnik, M","Emanuel, Y",0-1,10.4,"Sep 05, 2020",E10 Queen's pawn game,,,,,,
"Erenberg, S","Bitensky, I",½-½,10.4,"Sep 05, 2020",B06 Robatsch (modern) defence,,,,,,
"Friedland, M","Klar, N",0-1,10.4,"Sep 05, 2020","B89 Sicilian, Sozin, 7.Be3",,,,,,
"Cnaan, M","Aharonovich, I",0-1,10.4,"Sep 05, 2020",B40 Sicilian defence,,,,,,
"Shahar, H","Baumann, Y",½-½,10.4,"Sep 05, 2020",A46 Queen's pawn game,,,,,,
"Gruenfeld, Y","Boruchovsky, A",0-1,10.5,"Sep 05, 2020","C92 Ruy Lopez, closed, 9.h3",,,,,,
"Erenberg, A","Maryasin, B",1-0,10.5,"Sep 05, 2020",A40 Queen's pawn,,,,,,
"Polyakov, A","Givon, A",0-1,10.5,"Sep 05, 2020",A04 Reti opening,,,,,,
"Mindlin, A","Kuprijanov, A",1-0,10.5,"Sep 05, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Rahmilevitz, A","Ben Artzi, I",0-1,10.5,"Sep 05, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Gorshtein, I","Musyuk, L",1-0,10.5,"Sep 05, 2020","A36 English, symmetrical variation",,,,,,
"Postny, E","Bakalchuk, J",1-0,10.6,"Sep 05, 2020","E91 King's Indian, 6.Be2",,,,,,
"Zoler, D","Steinberg, N",½-½,10.6,"Sep 05, 2020","D45 Queen's Gambit Declined semi-Slav, 5.e3",,,,,,
"Roiz, M","Zifroni, D",½-½,10.6,"Sep 05, 2020","E03 Catalan, open, Alekhine variation",,,,,,
"Caspi, I","Mikhalevski, V",½-½,10.6,"Sep 05, 2020",C45 Scotch game,,,,,,
"Huzman, A","Krayz, A",½-½,10.6,"Sep 05, 2020",E00 Queen's pawn game,,,,,,
"Haimovich, T","Greenfeld, A",½-½,10.6,"Sep 05, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Bakalchuk, J","Dvoirys, S",0-1,11.1,"Sep 11, 2020",A45 Queen's pawn game,,,,,,
"Khmelniker, I","Zoler, D",1-0,11.1,"Sep 11, 2020","E94 King's Indian, orthodox variation",,,,,,
"Zifroni, D","Vydeslaver, A",1-0,11.1,"Sep 11, 2020","A42 Modern defence, Averbakh system",,,,,,
"Iliaguev, N","Caspi, I",0-1,11.1,"Sep 11, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Ganor, D","Shvayger, Y",½-½,11.1,"Sep 11, 2020",B32 Sicilian defence,,,,,,
"Karasik, E","Krayz, A",½-½,11.1,"Sep 11, 2020",A45 Queen's pawn game,,,,,,
"Sutovsky, E","Sherf, R",1-0,11.2,"Sep 11, 2020","B45 Sicilian, Taimanov variation",,,,,,
"Smirin, I","Erenberg, S",1-0,11.2,"Sep 11, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Klar, N","Kantsler, B",0-1,11.2,"Sep 11, 2020","B42 Sicilian, Kan, 5.Bd3",,,,,,
"Bar, R","Einhorn, N",1-0,11.2,"Sep 11, 2020","A08 Reti, King's Indian attack",,,,,,
"Gaz, I","Birnboim, N",0-1,11.2,"Sep 11, 2020","C01 French, exchange variation",,,,,,
"Rechlis, G","Gruenfeld, Y",0-1,11.3,"Sep 11, 2020",A05 Reti opening,,,,,,
"Botvinnik, M","Rahmilevitz, A",½-½,11.3,"Sep 11, 2020","E73 King's Indian, 5.Be2",,,,,,
"Musyuk, L","Friedland, M",½-½,11.3,"Sep 11, 2020",B07 Pirc defence,,,,,,
"Nabaty, T","Galburd, Y",1-0,11.4,"Sep 11, 2020",D02 Queen's pawn game,,,,,,
"Gorodetzky, D","Boruchovsky, A",½-½,11.4,"Sep 11, 2020","A37 English, symmetrical variation",,,,,,
"Erenberg, A","Parkhov, Y",1-0,11.4,"Sep 11, 2020",A40 Queen's pawn,,,,,,
"Veinberg, N","Givon, A",1-0,11.4,"Sep 11, 2020","D85 Gruenfeld, exchange variation",,,,,,
"Mindlin, A","Zlatin, A",½-½,11.4,"Sep 11, 2020","E81 King's Indian, Saemisch, 5...O-O",,,,,,
"Mikhalevski, A","Gorshtein, I",½-½,11.4,"Sep 11, 2020",A81 Dutch defence,,,,,,
"Flom, G","Baron, T",0-1,11.5,"Sep 11, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Alterman, B","Zubov, A",1-0,11.5,"Sep 11, 2020",,,,,,,
"Bykhovsky, A","Zanan, E",½-½,11.5,"Sep 11, 2020",E60 King's Indian defence,,,,,,
"Kobo, O","Atnilov, B",1-0,11.5,"Sep 11, 2020",A05 Reti opening,,,,,,
"Mesropov, K","Bronstein, O",½-½,11.5,"Sep 11, 2020",D00 Queen's pawn game,,,,,,
"Kaspi, A","Chassid, E",1-0,11.5,"Sep 11, 2020",A57 Benko gambit,,,,,,
"Deutsch, E","Postny, E",½-½,11.6,"Sep 11, 2020","B46 Sicilian, Taimanov variation",,,,,,
"Steinberg, N","Sivuk, V",1-0,11.6,"Sep 11, 2020",B00 King's pawn opening,,,,,,
"Pasman, M","Roiz, M",½-½,11.6,"Sep 11, 2020",A45 Queen's pawn game,,,,,,
"Mikhalevski, V","Nedobora, M",½-½,11.6,"Sep 11, 2020","D34 Queen's Gambit Declined, Tarrasch, Prague variation, 7...Be7",,,,,,
"Arlinsky, U","Huzman, A",0-1,11.6,"Sep 11, 2020",A13 English opening,,,,,,
"Greenfeld, A","Chernomordik, P",1-0,11.6,"Sep 11, 2020",A40 Queen's pawn,,,,,,
"Emanuel, Y","Golod, V",0-1,11.2,"Sep 12, 2020","B84 Sicilian, Scheveningen (Paulsen), classical variation",,,,,,
"Polyakov, A","Aharonovich, I",0-1,11.3,"Sep 12, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Maryasin, B","Manor, I",1-0,11.3,"Sep 15, 2020",,,,,,,
"Bitensky, I","Kuprijanov, A",1-0,11.3,"Sep 15, 2020",,,,,,,
,,,,,,,,,"GM Gupta, Abhijeet",2603.0,8.5
,,,,,,,,,"GM Ponkratov, Pavel",2622.0,8.0
,,,,,,,,,"GM Aleksandrov, Aleksej",2592.0,8.0
,,,,,,,,,"GM Mchedlishvili, Mikheil",2578.0,7.5
,,,,,,,,,"GM Fedorov, Alexei",2562.0,7.5
,,,,,,,,,"GM Lalith, Babu MR",2558.0,7.5
,,,,,,,,,"GM Debashis, Das",2523.0,7.5
,,,,,,,,,"GM Amonatov, Farrukh",2631.0,7.0
,,,,,,,,,"GM Martinez Alcantara, Jose Eduardo",2606.0,7.0
,,,,,,,,,"GM Pantsulaia, Levan",2598.0,7.0
,,,,,,,,,"GM David, Alberto",2562.0,7.0
,,,,,,,,,"GM Stupak, Kirill",2506.0,7.0
,,,,,,,,,"GM Karthikeyan, Murali",2606.0,6.5
,,,,,,,,,"GM Yakubboev, Nodirbek",2597.0,6.5
,,,,,,,,,"GM Rozum, Ivan",2573.0,6.5
,,,,,,,,,"GM Ghosh, Diptayan",2550.0,6.5
,,,,,,,,,"GM Tukhaev, Adam",2548.0,6.5
,,,,,,,,,"IM Kaczur, Florian",2485.0,6.5
,,,,,,,,,"GM Goganov, Aleksey",2583.0,6.0
,,,,,,,,,"GM Visakh N R,",2518.0,6.0
,,,,,,,,,Show full players list,,
"Ishvi, A","Karthik, V",0-1,4.3,"Jan 11, 2020","A62 Benoni, fianchetto variation",,,,,,
"Rudrashish, C","Krishna, C",0-1,4.4,"Jan 11, 2020","C16 French, Winawer, advance variation",,,,,,
"Rahman, Z","Hesham, A",1-0,4.5,"Jan 11, 2020",A45 Queen's pawn game,,,,,,
"Amonatov, F","Muthaiah, A",1-0,4.6,"Jan 11, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Taher, Y","Ponkratov, P",½-½,4.7,"Jan 11, 2020",C70 Ruy Lopez,,,,,,
"Karthikeyan, M","Saptarshi, R",½-½,4.8,"Jan 11, 2020","B28 Sicilian, O'Kelly variation",,,,,,
"Yakubboev, N","Shyam, N",½-½,4.9,"Jan 11, 2020",A41 Queen's Pawn,,,,,,
"Martinez Alcantara, J","Karthik, V",0-1,5.1,"Jan 12, 2020","A33 English, symmetrical variation",,,,,,
"Neelash, S","Yakubboev, N",½-½,5.1,"Jan 12, 2020",E00 Queen's pawn game,,,,,,
"Manish Anto, C","Goganov, A",1-0,5.11,"Jan 12, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Mchedlishvili, M","Audi, A",½-½,5.12,"Jan 12, 2020",C45 Scotch game,,,,,,
"Bogdanovich, S","Pranesh, M",0-1,5.13,"Jan 12, 2020",A45 Queen's pawn game,,,,,,
"Aaryan, V","David, A",½-½,5.14,"Jan 12, 2020","E94 King's Indian, orthodox variation",,,,,,
"Fedorov, A","Rathnakaran, K",1-0,5.15,"Jan 12, 2020","A65 Benoni, 6.e4",,,,,,
"Pranav, V","Lalith, B",½-½,5.16,"Jan 12, 2020","C84 Ruy Lopez, closed defence",,,,,,
"Ghosh, D","Srihari, L",1-0,5.17,"Jan 12, 2020","A96 Dutch, classical variation",,,,,,
"Luong Phuong Hanh,","Tukhaev, A",0-1,5.18,"Jan 12, 2020",A43 Old Benoni defence,,,,,,
"Gholami, A","Mohite, R",1-0,5.19,"Jan 12, 2020",A16 English opening,,,,,,
"Aleksandrov, A","Rahman, Z",1-0,5.2,"Jan 12, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Raahul, V","Debashis, D",½-½,5.2,"Jan 12, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Grover, S","Saurabh Anand,",½-½,5.21,"Jan 12, 2020","C91 Ruy Lopez, closed, 9.d4",,,,,,
"Vatsal, S","Visakh N R,",0-1,5.22,"Jan 12, 2020","B92 Sicilian, Najdorf, Opovcensky variation",,,,,,
"Yudin, S","Varun, V",½-½,5.23,"Jan 12, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Harsha, B","Lokesh, N",½-½,5.24,"Jan 12, 2020",A17 English opening,,,,,,
"Rios, C","Navalgund, N",½-½,5.25,"Jan 12, 2020","D32 Queen's Gambit Declined, Tarrasch defence",,,,,,
"Vasquez Schroeder, R","Masango, S",1-0,5.26,"Jan 12, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Kiran, M","Vishnu Prasanna. V,",½-½,5.27,"Jan 12, 2020","B94 Sicilian, Najdorf, 6.Bg5",,,,,,
"Krishna, C","Rozum, I",½-½,5.3,"Jan 12, 2020",E00 Queen's pawn game,,,,,,
"Kaczur, F","Amonatov, F",½-½,5.4,"Jan 12, 2020","B90 Sicilian, Najdorf",,,,,,
"Nguyen Van Huy,","Stupak, K",½-½,5.5,"Jan 12, 2020",A50 Queen's pawn game,,,,,,
"Ponkratov, P","Nigmatov, O",½-½,5.6,"Jan 12, 2020",B33 Sicilian defence,,,,,,
"Muthaiah, A","Karthikeyan, M",1-0,5.7,"Jan 12, 2020",A45 Queen's pawn game,,,,,,
"Bharat, K","Gupta, A",0-1,5.8,"Jan 12, 2020","B59 Sicilian, Boleslavsky variation, 7.Nb3",,,,,,
"Pantsulaia, L","Manik, M",1-0,5.9,"Jan 12, 2020",A05 Reti opening,,,,,,
"Karthik, V","Aleksandrov, A",0-1,6.1,"Jan 12, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Das, S","Gholami, A",½-½,6.1,"Jan 12, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Visakh N R,","Sammed Jaykumar, S",1-0,6.11,"Jan 12, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Stupak, K","Muthaiah, A",1-0,6.12,"Jan 12, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Gusain, H","Vasquez Schroeder, R",1-0,6.13,"Jan 12, 2020",C45 Scotch game,,,,,,
"Czebe, A","Kaczur, F",0-1,6.14,"Jan 12, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Nigmatov, O","Manish Anto, C",1-0,6.15,"Jan 12, 2020","B23 Sicilian, closed",,,,,,
"Pranesh, M","Nguyen Van Huy,",1-0,6.16,"Jan 12, 2020",B12 Caro-Kann defence,,,,,,
"Yakubboev, N","Bakshi, R",1-0,6.17,"Jan 12, 2020",A00 Polish (Sokolsky) opening,,,,,,
"Varun, V","Ponkratov, P",½-½,6.18,"Jan 12, 2020",A45 Queen's pawn game,,,,,,
"Navalgund, N","Mchedlishvili, M",½-½,6.19,"Jan 12, 2020","E41 Nimzo-Indian, 4.e3 c5",,,,,,
"Martinez Alcantara, J","Krishna, C",1-0,6.2,"Jan 12, 2020","C19 French, Winawer, advance, 6...Ne7",,,,,,
"David, A","Raahul, V",1-0,6.2,"Jan 12, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Lalith, B","Wagh, S",½-½,6.21,"Jan 12, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Debashis, D","Sapaev, M",1-0,6.22,"Jan 12, 2020",E20 Nimzo-Indian defence,,,,,,
"Srija, S","Grover, S",1-0,6.23,"Jan 12, 2020","C63 Ruy Lopez, Schliemann defence",,,,,,
"Ziatdinov, R","Yudin, S",0-1,6.24,"Jan 12, 2020",C41 Philidor's defence,,,,,,
"Praveen Kumar, C","Harsha, B",0-1,6.25,"Jan 12, 2020",D30 Queen's gambit declined,,,,,,
"Rios, C","Aradhya, G",1-0,6.26,"Jan 12, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Vishnu Prasanna. V,","Gandhi, A",1-0,6.27,"Jan 12, 2020","A48 King's Indian, East Indian defence",,,,,,
"Amonatov, F","Neverov, V",½-½,6.3,"Jan 12, 2020","B90 Sicilian, Najdorf",,,,,,
"Gupta, A","Shyam, N",½-½,6.4,"Jan 12, 2020",E11 Bogo-Indian defence,,,,,,
"Lugovskoy, M","Pantsulaia, L",1-0,6.5,"Jan 12, 2020",B40 Sicilian defence,,,,,,
"Rozum, I","Hesham, A",1-0,6.6,"Jan 12, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Rahman, Z","Fedorov, A",0-1,6.7,"Jan 12, 2020",A45 Queen's pawn game,,,,,,
"Khusenkhojaev, M","Ghosh, D",0-1,6.8,"Jan 12, 2020","E32 Nimzo-Indian, classical variation",,,,,,
"Tukhaev, A","Karthikeyan, P",1-0,6.9,"Jan 12, 2020",B06 Robatsch (modern) defence,,,,,,
"Aleksandrov, A","Tukhaev, A",½-½,7.1,"Jan 13, 2020","A42 Modern defence, Averbakh system",,,,,,
"Das, S","Yakubboev, N",0-1,7.1,"Jan 13, 2020","B92 Sicilian, Najdorf, Opovcensky variation",,,,,,
"Dzhumaev, M","David, A",½-½,7.11,"Jan 13, 2020","A64 Benoni, fianchetto, 11...Re8",,,,,,
"Gholami, A","Audi, A",½-½,7.12,"Jan 13, 2020",A05 Reti opening,,,,,,
"Abdisalimov, A","Debashis, D",½-½,7.13,"Jan 13, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Yudin, S","Rohith, K",½-½,7.14,"Jan 13, 2020",A13 English opening,,,,,,
"Harsha, B","Saurabh Anand,",½-½,7.15,"Jan 13, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Neelash, S","Rios, C",1-0,7.16,"Jan 13, 2020",D00 Queen's pawn game,,,,,,
"Pranav, V","Vishnu Prasanna. V,",0-1,7.17,"Jan 13, 2020","B92 Sicilian, Najdorf, Opovcensky variation",,,,,,
"Neverov, V","Lokesh, N",0-1,7.18,"Jan 13, 2020",D30 Queen's gambit declined,,,,,,
"Pantsulaia, L","Srija, S",1-0,7.19,"Jan 13, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Kaczur, F","Martinez Alcantara, J",½-½,7.2,"Jan 13, 2020","B51 Sicilian, Canal-Sokolsky (Nimzovich-Rossolimo, Moscow) attack",,,,,,
"Ponkratov, P","Navalgund, N",1-0,7.2,"Jan 13, 2020","D33 Queen's Gambit Declined, Tarrasch, Schlechter-Rubinstein system",,,,,,
"Souhardo, B","Karthikeyan, M",0-1,7.21,"Jan 13, 2020","B67 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",,,,,,
"Vatsal, S","Goganov, A",½-½,7.22,"Jan 13, 2020",C50 King's pawn game,,,,,,
"Mchedlishvili, M","Arpita, M",1-0,7.23,"Jan 13, 2020",A45 Queen's pawn game,,,,,,
"Wagh, S","Bogdanovich, S",0-1,7.24,"Jan 13, 2020",A40 Queen's pawn,,,,,,
"Dhananjay, S","Lalith, B",½-½,7.25,"Jan 13, 2020","E69 King's Indian, fianchetto, classical main line",,,,,,
"Vasquez Schroeder, R","Manish, K",1-0,7.26,"Jan 13, 2020","C97 Ruy Lopez, closed, Chigorin defence",,,,,,
